Name,Initial,Lockdown_in_effect
Alabama,AL,4/4/20
Alaska,AK,3/28/20
Arizona,AZ,3/31/20
Arkansas,AR,
California,CA,3/19/20
Colorado,CO,3/26/20
Connecticut,CT,3/23/20
Delaware,DE,3/24/20
District of Columbia,DC,4/1/20
Florida,FL,4/3/20
Georgia,GA,4/3/20
Hawaii,HI,3/25/20
Idaho,ID,3/25/20
Illinois,IL,3/21/20
Indiana,IN,3/24/20
Iowa,IA,
Kansas,KS,3/30/20
Kentucky,KY,3/26/20
Louisiana,LA,3/23/20
Maine,ME,4/2/20
Maryland,MD,3/30/20
Massachusetts,MA,3/24/20
Michigan,MI,3/24/20
Minnesota,MN,3/27/20
Mississippi,MS,4/3/20
Missouri,MO,4/6/20
Montana,MT,3/28/20
Nebraska,NE,
Nevada,NV,4/1/20
New Hampshire,NH,3/27/20
New Jersey,NJ,3/24/20
New Mexico,NM,3/24/20
New York,NY,3/22/20
North Carolina,NC,3/30/20
North Dakota,ND,
Ohio,OH,3/23/20
Oklahoma,OK,3/28/20
Oregon,OR,3/23/20
Pennsylvania,PA,4/1/20
Rhode Island,RI,3/28/20
South Carolina,SC,4/6/20
South Dakota,SD,
Tennessee,TN,3/31/20
Texas,TX,4/2/20
Utah,UT,3/27/20
Vermont,VT,3/25/20
Virginia,VA,3/30/20
Washington,WA,3/23/20
West Virginia,WV,3/24/20
Wisconsin,WI,3/25/20
Wyoming,WY,3/28/20
