County,First_FPC_Score
"Autauga, Alabama, US",10.111995811826088
"Baldwin, Alabama, US",28.009835382278247
"Barbour, Alabama, US",3.4459443998333956
"Bibb, Alabama, US",-1.9330283047030212
"Blount, Alabama, US",6.417383356649568
"Bullock, Alabama, US",-2.4493023260833784
"Butler, Alabama, US",7.95832740900618
"Calhoun, Alabama, US",21.26790699649035
"Chambers, Alabama, US",9.977387803427105
"Cherokee, Alabama, US",-8.835933753719374
"Chilton, Alabama, US",5.653309666086005
"Choctaw, Alabama, US",-12.977162326827806
"Clarke, Alabama, US",4.590463064911637
"Clay, Alabama, US",-12.411173581349638
"Cleburne, Alabama, US",-19.904623276606788
"Coffee, Alabama, US",11.433953830250273
"Colbert, Alabama, US",12.337268999647577
"Conecuh, Alabama, US",-7.8571075767415905
"Coosa, Alabama, US",-23.49032749835755
"Covington, Alabama, US",7.540786042691147
"Crenshaw, Alabama, US",-5.342537049102132
"Cullman, Alabama, US",12.703744307556383
"Dale, Alabama, US",8.532706042403278
"Dallas, Alabama, US",12.976359438259447
"DeKalb, Alabama, US",20.361104829002716
"Elmore, Alabama, US",15.210498166667731
"Escambia, Alabama, US",8.811883086929583
"Etowah, Alabama, US",23.10665812879529
"Fayette, Alabama, US",-10.949032769943711
"Franklin, Alabama, US",13.106461825711303
"Geneva, Alabama, US",-1.633502501429976
"Greene, Alabama, US",-11.5670145352207
"Hale, Alabama, US",0.11851945304836303
"Henry, Alabama, US",-6.19229321474976
"Houston, Alabama, US",18.774185449160917
"Jackson, Alabama, US",8.078195717480412
"Jefferson, Alabama, US",50.577548445056344
"Lamar, Alabama, US",-14.79245980595955
"Lauderdale, Alabama, US",11.056439221945375
"Lawrence, Alabama, US",-8.056356171397633
"Lee, Alabama, US",27.87608928914208
"Limestone, Alabama, US",12.844972385356195
"Lowndes, Alabama, US",0.22185789555976537
"Macon, Alabama, US",-8.110938493059605
"Madison, Alabama, US",33.471736091144884
"Marengo, Alabama, US",0.9406525511510627
"Marion, Alabama, US",0.4532639860171388
"Marshall, Alabama, US",29.163761525484105
"Mobile, Alabama, US",48.874441454646394
"Monroe, Alabama, US",-7.903950862912572
"Montgomery, Alabama, US",40.18225194988904
"Morgan, Alabama, US",22.551389908569387
